,时间,当前温度,上一次温度,模块内部时间,Suc
0,Cmode=1,47,47,Tm=09:00,0 
1,			 Cmode=1,49,47,Tm=09:01,0 
2,03-20 09:04:19.232,50,49,Tm=09:02,0 
3,			,52,50,Tm=09:04,0 
4,03-20 09:06:17.765,52,52,Tm=09:04,0 
5,03-20 09:07:07.877,53,52,Tm=09:05,0 
6,03-20 09:08:14.241,54,54,Tm=09:06,0 
7,03-20 09:09:04.261,55,54,Tm=09:07,0 
8,03-20 09:09:54.203,56,55,Tm=09:07,0 
9,			 0Cmode=7,57,56,Tm=09:08,0 
10,03-20 09:11:34.165,57,57,Tm=09:09,0 
11,			,58,57,Tm=09:10,0 
12,03-20 09:13:35.644,60,60,Tm=08:00,0 
13,03-20 09:14:25.642,61,60,Tm=08:00,0 
14,03-20 09:15:16.873,62,61,Tm=08:01,0 
15,03-20 09:16:07.324,61,62,Tm=08:02,0 
16,03-20 09:16:55.608,62,61,Tm=08:03,0 
17,Cmode=7,62,62,Tm=08:04,0 
18,Cmode=7,63,62,Tm=08:05,0 
19,			,63,63,Tm=08:05,0 
20,			,65,63,Tm=08:06,0 
21,03-20 09:21:05.615,65,65,Tm=08:07,0 
22,03-20 09:22:51.296 0Cmode=7,65,65,Tm=09:21,0 
23,03-20 09:23:44.565,65,65,Tm=09:22,0 
24,03-20 09:24:34.606 0Cmode=7,66,65,Tm=09:22,0 
25,03-20 09:25:24.618,67,66,Tm=09:23,0 
26,03-20 09:26:14.646,67,67,Tm=09:24,0 
27,03-20 09:27:05.344,68,67,Tm=09:25,0 
28,03-20 09:27:54.873,69,68,Tm=09:26,0 
29,03-20 09:29:03.745,69,69,Tm=08:00,0 
30,03-20 09:30:05.769,70,69,Tm=09:29,0 
31,03-20 09:31:05.828,71,70,Tm=09:30,0 
32,03-20 09:31:55.872,72,71,Tm=09:31,0 
33,			,72,72,Tm=09:32,0 
34,03-20 09:33:36.803,72,72,Tm=09:32,0 
35,03-20 09:34:25.910 1Cmode=7,73,72,Tm=09:33,0 
36,03-20 09:35:16.142,74,73,Tm=09:34,0 
37,			,74,74,Tm=08:00,0 
38,Cmode=7,72,74,Tm=08:00,0 
39,03-20 09:38:19.097,71,72,Tm=08:01,1 
40,			,72,71,Tm=08:02,0 
41,03-20 09:40:00.481,72,72,Tm=08:03,0 
42,03-20 09:40:49.106,73,72,Tm=08:04,0 
43,Cmode=7,75,73,Tm=08:05,0 
44,Cmode=7,73,75,Tm=08:05,0 
45,03-20 09:43:19.130,72,73,Tm=08:06,1 
46,03-20 09:44:09.127,72,72,Tm=08:07,0 
47,03-20 09:46:32.444,72,72,Tm=08:00,0 
48,			,72,72,Tm=08:00,0 
49,03-20 09:48:11.675 1Cmode=7,74,72,Tm=08:01,0 
50,			,74,74,Tm=08:02,0 
51,Cmode=7,73,74,Tm=08:03,0 
52,03-20 09:50:42.089,72,73,Tm=08:04,0 
53,03-20 09:51:31.712,72,72,Tm=08:05,0 
54,03-20 09:52:21.694,72,72,Tm=08:05,0 
55,03-20 09:53:11.708 1Cmode=7,72,72,Tm=08:06,0 
56,03-20 09:54:01.721,72,72,Tm=08:07,0 
57,03-20 09:55:51.076,72,72,Tm=08:00,0 
58,Cmode=7,72,72,Tm=08:00,0 
59,Cmode=7,72,72,Tm=08:01,0 
60,			,71,72,Tm=08:02,0 
61,			,71,71,Tm=08:03,0 
62,			,71,71,Tm=08:04,0 
63,03-20 10:00:52.373 1Cmode=7,72,71,Tm=08:05,0 
64,03-20 10:01:41.185,72,72,Tm=08:05,0 
65,Cmode=7,71,72,Tm=08:06,0 
66,03-20 10:03:23.364,71,71,Tm=10:02,0 
67,			 0Cmode=7,71,71,Tm=10:03,0 
68,03-20 10:05:17.580,71,71,Tm=10:04,0 
69,03-20 10:06:07.598,72,71,Tm=10:05,0 
70,			,72,72,Tm=10:06,0 
71,			 1Cmode=7,73,72,Tm=10:07,0 
72,03-20 10:08:37.981,73,73,Tm=10:07,0 
73,03-20 10:09:45.486,73,73,Tm=10:07,0 
74,03-20 10:10:37.051 1Cmode=7,72,73,Tm=10:08,0 
75,Cmode=7,71,72,Tm=10:09,0 
76,03-20 10:12:19.573,70,71,Tm=10:10,0 
77,03-20 10:13:09.781,69,70,Tm=10:11,0 
78,			 1Cmode=7,67,69,Tm=10:11,0 
79,			,67,67,Tm=10:13,0 
80,03-20 10:16:11.739,67,67,Tm=10:14,0 
81,			,67,67,Tm=10:14,0 
82,03-20 10:17:51.397,68,67,Tm=10:15,0 
83,03-20 10:18:41.414,69,68,Tm=10:16,0 
84,			,70,69,Tm=10:17,0 
85,03-20 10:21:41.045,72,71,Tm=10:20,0 
86,03-20 10:22:31.075,72,72,Tm=10:21,0 
87,03-20 10:23:21.089,72,72,Tm=10:22,0 
88,03-20 10:24:10.352,73,72,Tm=10:23,0 
89,			,73,73,Tm=10:23,0 
90,03-20 10:25:51.345,74,73,Tm=10:24,0 
91,03-20 10:26:58.207,74,74,Tm=10:24,0 
92,			,75,74,Tm=10:25,0 
93,03-20 10:27:36.490,74,75,Tm=10:26,0 
94,			,73,74,Tm=10:27,0 
95,03-20 10:29:15.332,73,73,Tm=10:28,0 
96,03-20 10:30:05.548,72,73,Tm=10:29,0 
97,03-20 10:31:11.178,71,71,Tm=10:30,0 
98,03-20 10:31:59.834,69,71,Tm=10:30,0 
99,03-20 10:32:50.924,69,69,Tm=10:31,1 
100,03-20 10:33:40.860,67,69,Tm=10:32,0 
